%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=610569855, 2023/08/15 10:25:23.71)
1 10 2.878486e+00 1.146506e+00 -8.749586119872088119e-03 -8.749586119872088119e-03  1.720579077237429644e-01  1.508597978404270350e+02
2 19 3.463254e+00 1.489272e+00 -1.855935869296787555e-02 -1.855935869296787555e-02  1.362073400391348166e-01  2.148882862275949268e-01
3 28 3.508312e+00 1.593847e+00 -4.624578974477420168e-01 -4.624578974477420168e-01 -1.883623142875762158e-02  1.515093727153333791e-01
4 37 3.378259e+00 1.629725e+00 -4.624578974477420168e-01 -4.229303701942895843e-01  1.495977907399949070e-01  9.459209264016617169e+01
5 46 3.267246e+00 1.550809e+00 -5.211140144182285772e-01 -5.211140144182285772e-01 -1.632494468813974753e-01  2.368599669312734246e-01
6 55 3.363643e+00 1.841367e+00 -5.211140144182285772e-01 -4.603016718548227360e-01 -2.140972190487144822e-01  7.913188212541810707e-02
7 64 2.992524e+00 1.868573e+00 -5.295685132825602714e-01 -5.295685132825602714e-01 -1.429564063058288426e-01  2.063845881736351876e+05
8 73 2.635002e+00 1.817402e+00 -5.295685132825602714e-01 -4.591423996318320100e-01 -2.033302281220690233e-01  8.713344670693563297e+06
9 82 2.652256e+00 1.775020e+00 -5.295685132825602714e-01 -4.764562696636969186e-01 -3.117194266350367116e-01  7.179028119237893820e+08
10 91 2.079708e+00 1.782775e+00 -5.295685132825602714e-01 -4.325925206854317473e-01 -3.520842398394331552e-01  1.275938488317751585e-02
11 100 1.905391e+00 1.692175e+00 -5.295685132825602714e-01 -5.058970675238287917e-01 -2.374329720364353191e-01 -9.301178682529487318e-02
12 109 1.807162e+00 1.769096e+00 -5.295685132825602714e-01 -5.074797953958252172e-01 -4.303290729258695269e-01  3.930777857145121068e+00
13 118 1.523176e+00 1.786007e+00 -5.295685132825602714e-01 -4.755806677632189450e-01 -3.813523424321416666e-01  2.100036015653386379e+00
14 127 1.235819e+00 1.780928e+00 -5.295685132825602714e-01 -5.113450918264241807e-01 -3.597988628705748870e-01  6.575735778580365398e+00
15 136 1.267639e+00 2.044123e+00 -5.403579833079263928e-01 -5.403579833079263928e-01 -4.751845531945207424e-01  1.811385301524770064e+00
16 145 1.241033e+00 2.174178e+00 -5.465468145803196176e-01 -5.465468145803196176e-01 -4.413265302429421055e-01  2.029053092730126018e+00
17 154 1.231845e+00 2.196653e+00 -5.473743449966725905e-01 -5.473743449966725905e-01 -4.922683412432510841e-01  3.315880071127506046e-01
18 163 1.271120e+00 2.245359e+00 -5.473743449966725905e-01 -5.382315387955747266e-01 -5.021937494542421110e-01 -3.485403440874027536e-01
19 172 1.099729e+00 2.248423e+00 -5.473743449966725905e-01 -5.310929396959545024e-01 -4.550031648321132272e-01  3.851510386397287711e-01
20 181 8.838771e-01 2.205110e+00 -5.473743449966725905e-01 -5.316149080505059299e-01 -4.868411404998746472e-01 -4.039139628574740515e-01
21 190 7.912809e-01 2.201742e+00 -5.483028631864240721e-01 -5.483028631864240721e-01 -5.323841720611552919e-01 -5.000458091707582486e-01
22 199 8.219717e-01 2.344558e+00 -5.483028631864240721e-01 -5.460477446378837474e-01 -5.340831076681696876e-01 -4.806041409621440996e-01
23 208 8.135850e-01 2.475234e+00 -5.483028631864240721e-01 -5.435735407145421139e-01 -5.243083830577353055e-01 -3.999908984058497818e-01
24 217 6.800121e-01 2.515735e+00 -5.490434129769922178e-01 -5.490434129769922178e-01 -5.335088665470125724e-01 -5.072771984452544292e-01
25 226 6.845844e-01 2.540179e+00 -5.490434129769922178e-01 -5.480729887110482590e-01 -5.454322969467801929e-01 -5.016848293960010086e-01
26 235 6.346265e-01 2.567583e+00 -5.490434129769922178e-01 -5.487306985803304116e-01 -5.377308360057981851e-01 -4.831349850441966076e-01
27 244 5.353425e-01 2.649220e+00 -5.490434129769922178e-01 -5.487548369764889689e-01 -5.440638836575842907e-01 -5.102721801415142089e-01
28 253 5.301242e-01 2.671169e+00 -5.490434129769922178e-01 -5.469557742005091150e-01 -5.425972353549156635e-01 -5.258461932414394413e-01
29 262 4.785826e-01 2.701366e+00 -5.490434129769922178e-01 -5.487426922604533575e-01 -5.432854487783773667e-01 -5.206190925641046574e-01
30 271 3.984502e-01 2.699150e+00 -5.490434129769922178e-01 -5.484706620008146238e-01 -5.469442657463440272e-01 -5.383739896219235099e-01
31 280 3.994419e-01 2.603607e+00 -5.492247334610360632e-01 -5.492247334610360632e-01 -5.476856296147989411e-01 -5.432552426625351094e-01
32 289 5.240052e-01 2.550761e+00 -5.501418013728210932e-01 -5.501418013728210932e-01 -5.480994046018865529e-01 -5.362199174397914714e-01
33 298 6.065715e-01 2.578534e+00 -5.501418013728210932e-01 -5.498923615550919131e-01 -5.486576458251657407e-01 -5.449333433563572360e-01
34 307 6.182269e-01 2.442236e+00 -5.501418013728210932e-01 -5.499735101029672446e-01 -5.410564956406846981e-01 -5.208462932329616102e-01
