Value,Soil_Name
1,LPi
2,RGe
3,RGe
4,LPi
5,LPi
6,RGe
7,RGe
8,RK
9,RGe
10,RGe
11,RGe
12,RGe
13,RGe
14,RGe
15,RGe
16,CMu
17,RGe
18,RGe
19,GG
20,RGe
21,RGe
22,GG
23,LPi
24,RGe
25,GG
26,RGe
27,RGe
28,RGe
29,RGe
30,RGe
31,RGe
32,RGe
33,CMu
34,RGe
35,CMe
36,RGe
37,RGe
38,RGe
39,RGe
40,RGe
41,CMu
42,CMo
43,RGe
44,RGe
45,RGe
46,RGe
47,RGe
48,CMg
49,RGe
50,CMg
51,CMe
52,CMe
53,RGe
54,LVx
55,RGe
56,CMe
57,CMu
58,RGe
59,LPi
60,CMg
61,CMe
62,CMe
63,RGe
64,CMx
65,CMe
66,RGe
67,CMe
68,CMx
69,CMx
70,CMx
71,CMx
72,CMx
73,CMx
74,CMx
75,CMe
76,CMx
77,CMx
78,RGe
79,CMx
80,CMx
81,CMg
82,RGe
83,CMe
84,RGe
85,CMx
86,CMx
87,CMx
88,CMx
89,CMx
90,CMx
91,CMe
92,LPi
93,CMx
94,CMe
95,CMx
96,CMx
97,GG
98,CMx
99,CMx
100,CMe
101,CMg
102,CMe
103,CMe
104,CMx
105,CMx
106,CMg
107,CMe
108,CMx
109,CMx
110,CMx
111,CMx
112,CMx
113,CMe
114,CMe
115,CMx
116,CMe
117,LVx
118,CMx
119,LVx
120,CMx
121,CMx
122,CMx
123,CMx
124,CMx
125,CMx
126,CMe
127,CMx
128,LVx
129,CMg
130,CMx
131,CMg
132,CMx
133,RGd
134,CMx
135,CMe
136,LVx
137,RGe
138,CMx
139,CMe
140,CMx
141,CMx
142,LVx
143,CMx
144,CMe
145,CMx
146,CMx
147,CMe
148,CMx
149,CMx
150,CMe
151,CMe
152,CMx
153,CMx
154,CMe
155,LVx
156,CMx
157,CMx
158,CMx
159,CMe
160,CMe
161,CMg
162,CMx
163,CMx
164,CMx
165,CMx
166,CMx
167,CMx
168,CMx
169,CMx
170,CMe
171,CMe
172,CMx
173,CMx
174,CMe
175,CMx
176,LVx
177,CMg
178,CMx
179,CMx
180,CMx
181,CMx
182,CMx
183,CMx
184,CMx
185,CMx
186,LVx
187,CMx
188,LVx
189,CMe
190,LVx
191,CMx
192,CMg
193,CMe
194,CMe
195,CMe
196,CMx
197,CMx
198,CMx
199,CMe
200,CMx
201,CMx
202,CMx
203,PHh
204,CMg
205,PHh
206,CMo
207,RGd
208,RGd
209,CMe
210,PHh
211,RGd
212,CMe
213,RGd
214,PHh
215,GLe
216,PHh
217,CMx
218,PHh
219,PHh
220,PHh
221,GLe
222,PHc
223,CMg
224,GLe
225,PHh
226,LVx
227,PHh
228,PHh
229,CMx
230,CMx
231,RGd
232,RGd
233,RGd
234,PHh
235,GLe
236,PHh
237,PHh
238,CMo
239,PHh
240,GLe
241,PHh
242,GLe
243,FLc
244,LPi
245,RGi
246,LPi
247,CMi
248,LPi
249,LPi
250,RGi
251,LPi
252,LPi
253,LPi
254,LPi
255,LPi
256,LPi
257,LPi
258,LPi
259,LPi
260,LPi
261,LPi
262,LPi
263,LPi
264,LP
265,LP
266,LPi
267,LPi
268,GG
269,LPe
270,GG
271,LPi
272,LPi
273,LPi
274,GG
275,LPe
276,LP
277,GG
278,GG
279,LPi
280,LPe
281,GG
282,LPi
283,LPi
284,LPi
285,LPi
286,LPe
287,LPe
288,LVh
289,LPi
290,LPm
291,LPi
292,LPi
293,LPi
294,LPi
295,LVh
296,LPi
297,CMe
298,LPi
299,LVh
300,LPm
301,LVh
302,LVh
303,LPi
304,LPi
305,GG
306,LPi
307,LVh
308,CMe
309,LPi
310,LPi
311,LPe
312,LPi
313,LPi
314,LPi
315,LPi
316,LPi
317,LPi
318,RGe
319,RGe
320,RGe
321,LPi
322,LPi
323,LPi
324,LPi
325,GG
326,RGe
327,RGe
328,LPi
329,LPi
